Date,ORCL,AMZN,INTC,MSFT,AMD,NVDA,META,GOOG,AVGO,AAPL
2012-07-27,30.770000,11.866000,26.020000,29.760000,4.090000,3.370000,23.709999,15.814723,36.130001,20.898571
2012-07-30,30.580000,11.804500,25.760000,29.639999,4.100000,3.332500,23.150000,15.748471,35.970001,21.251072
2012-07-31,30.200001,11.665000,25.700001,29.469999,4.060000,3.385000,21.709999,15.765158,36.900002,21.812857
2012-08-01,30.320000,11.604500,25.930000,29.410000,4.050000,3.347500,20.879999,15.757935,36.689999,21.671785
2012-08-02,29.920000,11.540500,25.910000,29.190001,3.970000,3.360000,20.040001,15.660052,36.540001,21.706785
2012-08-03,30.719999,11.748500,26.230000,29.750000,4.090000,3.430000,21.090000,15.973378,37.110001,21.989286
2012-08-06,31.000000,11.699500,26.309999,29.950001,4.010000,3.502500,21.920000,16.010489,37.070000,22.233929
2012-08-07,31.500000,11.828000,26.500000,30.260000,4.020000,3.537500,20.719999,15.953702,37.400002,22.175358
2012-08-08,31.160000,11.719000,26.600000,30.330000,4.400000,3.557500,20.719999,15.995794,37.480000,22.137857
2012-08-09,31.370001,11.703000,26.700001,30.500000,4.370000,3.677500,21.010000,15.998783,37.320000,22.168928
2012-08-10,31.610001,11.637500,26.879999,30.420000,4.340000,3.655000,21.809999,15.990065,37.150002,22.203571
2012-08-13,31.360001,11.622000,26.690001,30.389999,4.260000,3.702500,21.600000,16.438635,36.270000,22.500000
2012-08-14,31.350000,11.659500,26.480000,30.129999,4.120000,3.647500,20.379999,16.654076,36.150002,22.560356
2012-08-15,31.549999,11.871000,26.270000,30.200001,4.190000,3.620000,21.200001,16.626181,36.580002,22.529642
2012-08-16,32.029999,12.077500,26.590000,30.780001,4.170000,3.695000,19.870001,16.758932,36.910000,22.726429
2012-08-17,32.200001,12.058500,26.330000,30.900000,4.100000,3.662500,19.049999,16.865286,36.840000,23.146786
2012-08-20,32.040001,12.017500,26.230000,30.740000,4.090000,3.662500,20.010000,16.825434,35.959999,23.755358
2012-08-21,31.750000,11.972500,26.110001,30.799999,4.070000,3.652500,19.160000,16.675247,36.380001,23.430714
2012-08-22,31.700001,12.155000,25.730000,30.540001,4.010000,3.660000,19.440001,16.866282,36.490002,23.888214
2012-08-23,31.590000,12.060000,25.040001,30.260000,3.900000,3.577500,19.440001,16.856817,36.020000,23.665358
2012-08-24,31.950001,12.287000,24.910000,30.559999,3.940000,3.650000,19.410000,16.902395,36.049999,23.686428
2012-08-27,31.830000,12.196000,24.840000,30.690001,3.850000,3.587500,19.150000,16.668024,35.770000,24.131430
2012-08-28,31.580000,12.305500,25.000000,30.629999,3.790000,3.572500,19.340000,16.868025,36.270000,24.100000
2012-08-29,31.490000,12.356000,24.670000,30.650000,3.770000,3.580000,19.100000,17.136021,36.599998,24.052500
2012-08-30,31.170000,12.311000,24.270000,30.320000,3.700000,3.512500,19.090000,16.978361,36.020000,23.709642
2012-08-31,31.650000,12.413500,24.830000,30.820000,3.720000,3.507500,18.059999,17.063293,36.570000,23.758572
2012-09-04,31.570000,12.394000,24.420000,30.389999,3.640000,3.320000,17.730000,16.962421,35.889999,24.106071
2012-09-05,32.070000,12.311000,24.389999,30.389999,3.510000,3.330000,18.580000,16.954451,35.180000,23.936787
2012-09-06,32.630001,12.569000,25.100000,31.350000,3.660000,3.432500,18.959999,17.419706,36.610001,24.152500
2012-09-07,32.599998,12.957000,24.190001,30.950001,3.450000,3.350000,18.980000,17.587828,36.200001,24.301430
2012-09-10,32.310001,12.854500,23.260000,30.719999,3.470000,3.320000,18.809999,17.453829,35.000000,23.669287
2012-09-11,32.320000,12.783500,23.340000,30.790001,3.750000,3.360000,19.430000,17.240129,34.959999,23.592501
2012-09-12,32.259998,12.781500,23.190001,30.780001,3.890000,3.397500,20.930000,17.207502,35.230000,23.921070
2012-09-13,32.619999,13.012000,23.360001,30.940001,3.920000,3.420000,20.709999,17.585087,35.070000,24.392143
2012-09-14,32.950001,13.063500,23.370001,31.209999,3.900000,3.460000,22.000000,17.675747,35.060001,24.688572
2012-09-17,33.099998,12.900000,23.309999,31.209999,4.010000,3.365000,21.520000,17.683220,35.279999,24.992144
2012-09-18,33.020000,12.937500,23.370001,31.180000,3.620000,3.387500,21.870001,17.889944,35.160000,25.068214
2012-09-19,32.779999,13.084000,23.150000,31.049999,3.660000,3.427500,23.290001,18.119583,35.049999,25.075001
2012-09-20,32.259998,13.040500,23.180000,31.450001,3.590000,3.402500,22.590000,18.135025,33.750000,24.953571
2012-09-21,32.470001,12.873500,23.129999,31.190001,3.600000,3.417500,22.860001,18.281227,35.509998,25.003214
2012-09-24,32.220001,12.740000,22.799999,30.780001,3.460000,3.415000,20.790001,18.664541,34.599998,24.671070
2012-09-25,31.299999,12.623000,22.540001,30.389999,3.280000,3.352500,20.280001,18.659061,33.009998,24.055000
2012-09-26,30.730000,12.483500,22.650000,30.170000,3.320000,3.295000,20.620001,18.766159,33.459999,23.756430
2012-09-27,31.219999,12.829500,23.090000,30.160000,3.430000,3.320000,20.320000,18.841875,34.900002,24.332857
2012-09-28,31.459999,12.716000,22.660000,29.760000,3.370000,3.335000,21.660000,18.792063,34.869999,23.825001
2012-10-01,31.670000,12.600500,22.760000,29.490000,3.280000,3.280000,21.990000,18.973383,34.689999,23.549643
2012-10-02,31.650000,12.530000,22.840000,29.660000,3.270000,3.292500,22.270000,18.854080,34.419998,23.618214
2012-10-03,31.820000,12.796000,22.549999,29.860001,3.120000,3.260000,21.830000,18.991316,34.570000,23.980356
2012-10-04,31.900000,13.023500,22.469999,30.030001,3.220000,3.405000,21.950001,19.129547,34.419998,23.814285
2012-10-05,31.389999,12.925500,22.680000,29.850000,3.220000,3.325000,20.910000,19.119585,34.439999,23.306786
2012-10-08,31.180000,12.953000,22.510000,29.780001,3.190000,3.292500,20.400000,18.875252,33.880001,22.791786
2012-10-09,30.650000,12.548000,21.900000,29.280001,3.250000,3.222500,20.230000,18.532785,33.590000,22.708929
