Date,Close
2012-05-18,26.070000
2012-05-21,26.150000
2012-05-22,26.030001
2012-05-23,25.440001
2012-05-24,25.650000
2012-05-25,25.740000
2012-05-29,26.090000
2012-05-30,26.129999
2012-05-31,25.840000
2012-06-01,25.139999
2012-06-04,25.040001
2012-06-05,25.430000
2012-06-06,26.070000
2012-06-07,25.940001
2012-06-08,26.410000
2012-06-11,25.990000
2012-06-12,26.520000
2012-06-13,26.540001
2012-06-14,26.980000
2012-06-15,27.340000
2012-06-18,27.420000
2012-06-19,27.510000
2012-06-20,27.639999
2012-06-21,26.709999
2012-06-22,26.940001
2012-06-25,26.049999
2012-06-26,26.010000
2012-06-27,26.219999
2012-06-28,25.830000
2012-06-29,26.650000
2012-07-02,26.670000
2012-07-03,26.860001
2012-07-05,26.549999
2012-07-06,26.160000
2012-07-09,26.170000
2012-07-10,25.559999
2012-07-11,25.389999
2012-07-12,24.740000
2012-07-13,25.250000
2012-07-16,25.129999
2012-07-17,25.379999
2012-07-18,26.209999
2012-07-19,26.059999
2012-07-20,25.520000
2012-07-23,25.260000
2012-07-24,25.010000
2012-07-25,25.129999
2012-07-26,25.500000
2012-07-27,26.020000
2012-07-30,25.760000
2012-07-31,25.700001
2012-08-01,25.930000
2012-08-02,25.910000
2012-08-03,26.230000
2012-08-06,26.309999
2012-08-07,26.500000
2012-08-08,26.600000
2012-08-09,26.700001
2012-08-10,26.879999
2012-08-13,26.690001
2012-08-14,26.480000
2012-08-15,26.270000
2012-08-16,26.590000
2012-08-17,26.330000
2012-08-20,26.230000
2012-08-21,26.110001
2012-08-22,25.730000
2012-08-23,25.040001
2012-08-24,24.910000
2012-08-27,24.840000
2012-08-28,25.000000
2012-08-29,24.670000
2012-08-30,24.270000
2012-08-31,24.830000
2012-09-04,24.420000
2012-09-05,24.389999
2012-09-06,25.100000
2012-09-07,24.190001
2012-09-10,23.260000
2012-09-11,23.340000
2012-09-12,23.190001
2012-09-13,23.360001
2012-09-14,23.370001
2012-09-17,23.309999
2012-09-18,23.370001
2012-09-19,23.150000
2012-09-20,23.180000
2012-09-21,23.129999
2012-09-24,22.799999
2012-09-25,22.540001
2012-09-26,22.650000
2012-09-27,23.090000
2012-09-28,22.660000
2012-10-01,22.760000
2012-10-02,22.840000
2012-10-03,22.549999
2012-10-04,22.469999
2012-10-05,22.680000
2012-10-08,22.510000
2012-10-09,21.900000
2012-10-10,21.760000
2012-10-11,21.680000
2012-10-12,21.480000
2012-10-15,21.730000
2012-10-16,22.350000
2012-10-17,21.790001
2012-10-18,21.670000
2012-10-19,21.270000
2012-10-22,21.459999
2012-10-23,21.590000
2012-10-24,21.459999
2012-10-25,21.690001
2012-10-26,21.950001
2012-10-31,21.629999
2012-11-01,22.260000
2012-11-02,22.059999
2012-11-05,21.840000
2012-11-06,21.730000
2012-11-07,20.910000
2012-11-08,20.830000
2012-11-09,20.799999
2012-11-12,20.770000
2012-11-13,20.280001
2012-11-14,19.959999
2012-11-15,20.030001
2012-11-16,20.190001
2012-11-19,20.250000
2012-11-20,19.510000
2012-11-21,19.360001
2012-11-23,19.719999
2012-11-26,19.889999
2012-11-27,19.930000
2012-11-28,20.090000
2012-11-29,19.530001
2012-11-30,19.570000
2012-12-03,19.540001
2012-12-04,19.969999
2012-12-05,19.850000
2012-12-06,20.160000
2012-12-07,20.160000
2012-12-10,20.080000
2012-12-11,20.650000
2012-12-12,20.670000
2012-12-13,20.490000
2012-12-14,20.530001
2012-12-17,20.570000
2012-12-18,20.959999
2012-12-19,21.100000
2012-12-20,21.030001
2012-12-21,20.770000
2012-12-24,20.639999
2012-12-26,20.650000
2012-12-27,20.510000
2012-12-28,20.230000
2012-12-31,20.620001
2013-01-02,21.379999
2013-01-03,21.320000
2013-01-04,21.160000
2013-01-07,21.250000
2013-01-08,21.090000
2013-01-09,21.450001
2013-01-10,21.799999
2013-01-11,22.000000
2013-01-14,22.000000
2013-01-15,21.879999
2013-01-16,22.110001
2013-01-17,22.680000
2013-01-18,21.250000
2013-01-22,21.170000
2013-01-23,21.110001
2013-01-24,20.950001
2013-01-25,20.959999
2013-01-28,21.049999
2013-01-29,21.280001
2013-01-30,21.370001
2013-01-31,21.040001
2013-02-01,21.360001
2013-02-04,21.160000
2013-02-05,21.180000
2013-02-06,20.990000
2013-02-07,20.809999
2013-02-08,21.000000
2013-02-11,21.030001
2013-02-12,21.190001
2013-02-13,21.250000
2013-02-14,21.230000
2013-02-15,21.120001
2013-02-19,21.090000
2013-02-20,20.730000
2013-02-21,20.250000
2013-02-22,20.420000
2013-02-25,20.230000
2013-02-26,20.580000
2013-02-27,20.930000
2013-02-28,20.879999
2013-03-01,21.030001
2013-03-04,21.270000
2013-03-05,21.510000
2013-03-06,21.750000
2013-03-07,21.889999
2013-03-08,21.580000
2013-03-11,21.690001
2013-03-12,21.639999
2013-03-13,21.660000
2013-03-14,21.650000
2013-03-15,21.379999
2013-03-18,21.260000
2013-03-19,21.139999
2013-03-20,21.180000
2013-03-21,21.040001
2013-03-22,21.330000
2013-03-25,21.150000
2013-03-26,21.770000
2013-03-27,21.830000
2013-03-28,21.840000
2013-04-01,21.430000
2013-04-02,21.459999
2013-04-03,21.049999
2013-04-04,21.139999
2013-04-05,20.940001
2013-04-08,21.090000
2013-04-09,21.750000
2013-04-10,22.260000
2013-04-11,21.830000
2013-04-12,21.680000
2013-04-15,21.379999
2013-04-16,21.920000
2013-04-17,21.930000
2013-04-18,22.240000
2013-04-19,22.440001
2013-04-22,22.879999
2013-04-23,23.379999
2013-04-24,23.660000
2013-04-25,23.379999
2013-04-26,23.400000
2013-04-29,23.760000
2013-04-30,23.950001
2013-05-01,23.990000
